topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
complete,0.90,,,10,20260527,6100377292756696973,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0010,OK
complete,0.90,,,9,20260527,6100377292756696972,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0009,OK
complete,0.90,,,7,20260527,6100377292756696970,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0007,OK
complete,0.90,,,6,20260527,6100377292756696969,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0006,OK
complete,0.90,,,14,20260527,6100377292756696977,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0014,OK
complete,0.90,,,15,20260527,6100377292756696978,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0015,OK
complete,0.90,,,11,20260527,6100377292756696974,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0011,OK
complete,0.90,,,12,20260527,6100377292756696975,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0012,OK
complete,0.90,,,13,20260527,6100377292756696976,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.90/seed_0013,OK
complete,1.00,,,1,20260527,-3959763554863522959,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0001,OK
complete,1.00,,,2,20260527,-3959763554863522958,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0002,OK
complete,1.00,,,3,20260527,-3959763554863522957,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0003,OK
complete,1.00,,,4,20260527,-3959763554863522956,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0004,OK
complete,1.00,,,5,20260527,-3959763554863522955,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0005,OK
complete,1.00,,,6,20260527,-3959763554863522954,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0006,OK
complete,1.00,,,7,20260527,-3959763554863522953,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0007,OK
complete,1.00,,,8,20260527,-3959763554863522952,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0008,OK
complete,1.00,,,9,20260527,-3959763554863522951,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0009,OK
complete,1.00,,,10,20260527,-3959763554863522950,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0010,OK
complete,1.00,,,12,20260527,-3959763554863522948,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0012,OK
complete,1.00,,,13,20260527,-3959763554863522947,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0013,OK
complete,1.00,,,15,20260527,-3959763554863522945,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0015,OK
complete,1.00,,,14,20260527,-3959763554863522946,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0014,OK
